id,repository,subfolder,title,document_type,year,quarter,publication_date,source_url,download_url,local_path,file_type,source_domain,collected_date,notes,status,primary_category,official_pdf_url,api_id
"pr-0116","04_press_releases","04_press_releases/prescription_medicine","FDA Approves KEYTRUDA® (pembrolizumab) and KEYTRUDA QLEX™ (pembrolizumab and berahyaluronidase alfa-pmph), Each With WELIREG® (belzutifan), for Adjuvant Treatment of Certain Patients With Clear Cell Renal Cell Carcinoma (ccRCC)","press_release_snapshot","2026","Q2","2026-06-12","https://www.merck.com/news/fda-approves-keytruda-pembrolizumab-and-keytruda-qlex-pembrolizumab-and-berahyaluronidase-alfa-pmph-each-with-welireg-belzutifan-for-adjuvant-treatment-of-certain-patients/","https://www.merck.com/news/fda-approves-keytruda-pembrolizumab-and-keytruda-qlex-pembrolizumab-and-berahyaluronidase-alfa-pmph-each-with-welireg-belzutifan-for-adjuvant-treatment-of-certain-patients/","04_press_releases/prescription_medicine/2026-06-12_fda-approves-keytruda-pembrolizumab-and-keytruda-qlex-pembrolizumab-and-berahyaluronidase-alfa-pmph-each-with.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/FDA-Approves-KEYTRUDA-pembrolizumab-and-KEYTRUDA-QLEX-pembrolizumab-and-berahyaluronidase-alfa-pmph-Each-With-WELIREG-belzutifan-for--D05AJ.pdf | API item ID: 3692042","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/FDA-Approves-KEYTRUDA-pembrolizumab-and-KEYTRUDA-QLEX-pembrolizumab-and-berahyaluronidase-alfa-pmph-Each-With-WELIREG-belzutifan-for--D05AJ.pdf","3692042"
"pr-0117","04_press_releases","04_press_releases/animal_health","Merck Animal Health to Acquire TARGAN","press_release_snapshot","2026","Q2","2026-06-11","https://www.merck.com/news/merck-animal-health-to-acquire-targan/","https://www.merck.com/news/merck-animal-health-to-acquire-targan/","04_press_releases/animal_health/2026-06-11_merck-animal-health-to-acquire-targan.html","html","www.merck.com","2026-06-12","Categories: Animal Health News | API item ID: 3691976","snapshot_saved","Animal Health News","","3691976"
"pr-0118","04_press_releases","04_press_releases/prescription_medicine","Gilead and Merck Announce Positive Topline Results from two Phase 3 Studies Evaluating Islatravir/Lenacapavir, an Oral Once-Weekly HIV Treatment","press_release_snapshot","2026","Q2","2026-06-08","https://www.merck.com/news/gilead-and-merck-announce-positive-topline-results-from-two-phase-3-studies-evaluating-islatravir-lenacapavir-an-oral-once-weekly-hiv-treatment/","https://www.merck.com/news/gilead-and-merck-announce-positive-topline-results-from-two-phase-3-studies-evaluating-islatravir-lenacapavir-an-oral-once-weekly-hiv-treatment/","04_press_releases/prescription_medicine/2026-06-08_gilead-and-merck-announce-positive-topline-results-from-two-phase-3-studies-evaluating-islatravir-lenacapavir.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | API item ID: 3691764","snapshot_saved","Prescription Medicine News","","3691764"
"pr-0119","04_press_releases","04_press_releases/prescription_medicine","Merck and Gilead Provide Update on Phase 3 KEYNOTE-D46/EVOKE-03 Study","press_release_snapshot","2026","Q2","2026-06-08","https://www.merck.com/news/merck-and-gilead-provide-update-on-phase-3-keynote-d46-evoke-03-study/","https://www.merck.com/news/merck-and-gilead-provide-update-on-phase-3-keynote-d46-evoke-03-study/","04_press_releases/prescription_medicine/2026-06-08_merck-and-gilead-provide-update-on-phase-3-keynote-d46-evoke-03-study.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-and-Gilead-Provide-Update-on-Phase-3-KEYNOTE-D46EVOKE-03-Study-2026.pdf | API item ID: 3691782","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-and-Gilead-Provide-Update-on-Phase-3-KEYNOTE-D46EVOKE-03-Study-2026.pdf","3691782"
"pr-0120","04_press_releases","04_press_releases/animal_health","Merck Animal Health Reinforces Commitment to Help Protect U.S. Livestock from New World Screwworm Threat","press_release_snapshot","2026","Q2","2026-06-04","https://www.merck.com/news/merck-animal-health-reinforces-commitment-to-help-protect-u-s-livestock-from-new-world-screwworm-threat/","https://www.merck.com/news/merck-animal-health-reinforces-commitment-to-help-protect-u-s-livestock-from-new-world-screwworm-threat/","04_press_releases/animal_health/2026-06-04_merck-animal-health-reinforces-commitment-to-help-protect-u-s-livestock-from-new-world-screwworm-threat.html","html","www.merck.com","2026-06-12","Categories: Animal Health News | API item ID: 3691656","snapshot_saved","Animal Health News","","3691656"
"pr-0121","04_press_releases","04_press_releases/financial","Merck to Participate in the Goldman Sachs 47th Annual Global Healthcare Conference","press_release_snapshot","2026","Q2","2026-06-02","https://www.merck.com/news/merck-to-participate-in-the-goldman-sachs-47th-annual-global-healthcare-conference/","https://www.merck.com/news/merck-to-participate-in-the-goldman-sachs-47th-annual-global-healthcare-conference/","04_press_releases/financial/2026-06-02_merck-to-participate-in-the-goldman-sachs-47th-annual-global-healthcare-conference.html","html","www.merck.com","2026-06-12","Categories: Financial News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-Goldman-Sachs-47th-Annual-Global-Healthcare-Conference-2026.pdf | API item ID: 3691413","snapshot_saved","Financial News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-Goldman-Sachs-47th-Annual-Global-Healthcare-Conference-2026.pdf","3691413"
"pr-0122","04_press_releases","04_press_releases/prescription_medicine","Moderna and Merck Present 5-Year Data for Intismeran Autogene in Combination With KEYTRUDA(R) (pembrolizumab) in Patients With High-Risk Stage III/IV Melanoma Following Complete Resection at the 2026 ASCO Annual Meeting","press_release_snapshot","2026","Q2","2026-06-01","https://www.merck.com/news/moderna-and-merck-present-5-year-data-for-intismeran-autogene-in-combination-with-keytruda-pembrolizumab-in-patients-with-high-risk-stage-iii-iv-melanoma-following-complete-resection-at-the-20/","https://www.merck.com/news/moderna-and-merck-present-5-year-data-for-intismeran-autogene-in-combination-with-keytruda-pembrolizumab-in-patients-with-high-risk-stage-iii-iv-melanoma-following-complete-resection-at-the-20/","04_press_releases/prescription_medicine/2026-06-01_moderna-and-merck-present-5-year-data-for-intismeran-autogene-in-combination-with-keytruda-r-pembrolizumab-in.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/2026/June/01/Joint-News-Release-06-01-26-Moderna-and-Merck-Present-5-Year-Data-for-Intismeran-Autogene-in-Combination-With-KEYTRUDA-in-Melanoma-at-2026-ASCO.pdf | API item ID: 3691364","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/2026/June/01/Joint-News-Release-06-01-26-Moderna-and-Merck-Present-5-Year-Data-for-Intismeran-Autogene-in-Combination-With-KEYTRUDA-in-Melanoma-at-2026-ASCO.pdf","3691364"
"pr-0123","04_press_releases","04_press_releases/prescription_medicine","FDA Grants Breakthrough Therapy Designation for Calderasib (MK-1084), an Investigational KRAS G12C Inhibitor, for Certain Patients with Newly Diagnosed Metastatic KRAS G12C-Mutant Non-Small Cell Lung Cancer (NSCLC)","press_release_snapshot","2026","Q2","2026-05-29","https://www.merck.com/news/fda-grants-breakthrough-therapy-designation-for-calderasib-mk-1084-an-investigational-kras-g12c-inhibitor-for-certain-patients-with-newly-diagnosed-metastatic-kras-g12c-mutant-non-small-cell-lung/","https://www.merck.com/news/fda-grants-breakthrough-therapy-designation-for-calderasib-mk-1084-an-investigational-kras-g12c-inhibitor-for-certain-patients-with-newly-diagnosed-metastatic-kras-g12c-mutant-non-small-cell-lung/","04_press_releases/prescription_medicine/2026-05-29_fda-grants-breakthrough-therapy-designation-for-calderasib-mk-1084-an-investigational-kras-g12c-inhibitor-for.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/FDA-Grants-Breakthrough-Therapy-Designation-for-Calderasib-MK-1084-an-Investigational-KRAS-G12C-Inhibitor-for-Certain-Patients-with-N-PC1LJ.pdf | API item ID: 3691334","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/FDA-Grants-Breakthrough-Therapy-Designation-for-Calderasib-MK-1084-an-Investigational-KRAS-G12C-Inhibitor-for-Certain-Patients-with-N-PC1LJ.pdf","3691334"
"pr-0124","04_press_releases","04_press_releases/financial","Merck to Participate in the Jefferies Global Healthcare Conference","press_release_snapshot","2026","Q2","2026-05-28","https://www.merck.com/news/merck-to-participate-in-the-jefferies-global-healthcare-conference/","https://www.merck.com/news/merck-to-participate-in-the-jefferies-global-healthcare-conference/","04_press_releases/financial/2026-05-28_merck-to-participate-in-the-jefferies-global-healthcare-conference.html","html","www.merck.com","2026-06-12","Categories: Financial News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-Jefferies-Global-Healthcare-Conference-2026.pdf | API item ID: 3691241","snapshot_saved","Financial News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-to-Participate-in-the-Jefferies-Global-Healthcare-Conference-2026.pdf","3691241"
"pr-0125","04_press_releases","04_press_releases/financial","Merck Announces Third-Quarter 2026 Dividend","press_release_snapshot","2026","Q2","2026-05-26","https://www.merck.com/news/merck-announces-third-quarter-2026-dividend/","https://www.merck.com/news/merck-announces-third-quarter-2026-dividend/","04_press_releases/financial/2026-05-26_merck-announces-third-quarter-2026-dividend.html","html","www.merck.com","2026-06-12","Categories: Financial News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Announces-Third-Quarter-2026-Dividend-2026.pdf | API item ID: 3691145","snapshot_saved","Financial News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Announces-Third-Quarter-2026-Dividend-2026.pdf","3691145"
"pr-0126","04_press_releases","04_press_releases/prescription_medicine","Merck Receives Positive EU CHMP Opinion for KEYTRUDA® (pembrolizumab) Plus Padcev® (enfortumab vedotin-ejfv) as Perioperative Treatment for Adults With Cisplatin-Ineligible Resectable Muscle-Invasive Bladder Cancer","press_release_snapshot","2026","Q2","2026-05-22","https://www.merck.com/news/merck-receives-positive-eu-chmp-opinion-for-keytruda-pembrolizumab-plus-padcev-enfortumab-vedotin-ejfv-as-perioperative-treatment-for-adults-with-cisplatin-ineligible-resectable-muscle/","https://www.merck.com/news/merck-receives-positive-eu-chmp-opinion-for-keytruda-pembrolizumab-plus-padcev-enfortumab-vedotin-ejfv-as-perioperative-treatment-for-adults-with-cisplatin-ineligible-resectable-muscle/","04_press_releases/prescription_medicine/2026-05-22_merck-receives-positive-eu-chmp-opinion-for-keytruda-pembrolizumab-plus-padcev-enfortumab-vedotin-ejfv-as-peri.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Receives-Positive-EU-CHMP-Opinion-for-KEYTRUDA-pembrolizumab-Plus-Padcev-enfortumab-vedotin-ejfv-as-Perioperative-Treatment-for-6WDGW.pdf | API item ID: 3691109","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Receives-Positive-EU-CHMP-Opinion-for-KEYTRUDA-pembrolizumab-Plus-Padcev-enfortumab-vedotin-ejfv-as-Perioperative-Treatment-for-6WDGW.pdf","3691109"
"pr-0127","04_press_releases","04_press_releases/prescription_medicine","Merck Announces TroFuse-005 Trial Evaluating Sacituzumab Tirumotecan (Sac-TMT) Met Primary Endpoints of Overall Survival (OS) and Progression-Free Survival (PFS) in Certain Patients With Advanced or Recurrent Endometrial Cancer","press_release_snapshot","2026","Q2","2026-05-18","https://www.merck.com/news/merck-announces-trofuse-005-trial-evaluating-sacituzumab-tirumotecan-sac-tmt-met-primary-endpoints-of-overall-survival-os-and-progression-free-survival-pfs-in-certain-patients-with-advanced-or-r/","https://www.merck.com/news/merck-announces-trofuse-005-trial-evaluating-sacituzumab-tirumotecan-sac-tmt-met-primary-endpoints-of-overall-survival-os-and-progression-free-survival-pfs-in-certain-patients-with-advanced-or-r/","04_press_releases/prescription_medicine/2026-05-18_merck-announces-trofuse-005-trial-evaluating-sacituzumab-tirumotecan-sac-tmt-met-primary-endpoints-of-overall.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Announces-TroFuse-005-Trial-Evaluating-Sacituzumab-Tirumotecan-Sac-TMT-Met-Primary-Endpoints-of-Overall-Survival-OS-and-Progres-O056Y.pdf | API item ID: 3690800","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Announces-TroFuse-005-Trial-Evaluating-Sacituzumab-Tirumotecan-Sac-TMT-Met-Primary-Endpoints-of-Overall-Survival-OS-and-Progres-O056Y.pdf","3690800"
"pr-0128","04_press_releases","04_press_releases/prescription_medicine","Merck Highlights New Long-Term Data and Advancements Across Broad Oncology Portfolio and Pipeline Research at ASCO 2026","press_release_snapshot","2026","Q2","2026-05-12","https://www.merck.com/news/merck-highlights-new-long-term-data-and-advancements-across-broad-oncology-portfolio-and-pipeline-research-at-asco-2026/","https://www.merck.com/news/merck-highlights-new-long-term-data-and-advancements-across-broad-oncology-portfolio-and-pipeline-research-at-asco-2026/","04_press_releases/prescription_medicine/2026-05-12_merck-highlights-new-long-term-data-and-advancements-across-broad-oncology-portfolio-and-pipeline-research-at.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Highlights-New-Long-Term-Data-and-Advancements-Across-Broad-Oncology-Portfolio-and-Pipeline-Research-at-ASCO-2026-2026.pdf | API item ID: 3690710","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Highlights-New-Long-Term-Data-and-Advancements-Across-Broad-Oncology-Portfolio-and-Pipeline-Research-at-ASCO-2026-2026.pdf","3690710"
"pr-0129","04_press_releases","04_press_releases/corporate","Merck Scientists Publish Landmark Paper on Novel Method for Large-Scale Biocatalytic Synthesis of Investigational Oral PCSK9 Inhibitor, Enlicitide Decanoate","press_release_snapshot","2026","Q2","2026-05-07","https://www.merck.com/news/merck-scientists-publish-landmark-paper-on-novel-method-for-large-scale-biocatalytic-synthesis-of-investigational-oral-pcsk9-inhibitor-enlicitide-decanoate/","https://www.merck.com/news/merck-scientists-publish-landmark-paper-on-novel-method-for-large-scale-biocatalytic-synthesis-of-investigational-oral-pcsk9-inhibitor-enlicitide-decanoate/","04_press_releases/corporate/2026-05-07_merck-scientists-publish-landmark-paper-on-novel-method-for-large-scale-biocatalytic-synthesis-of-investigatio.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Scientists-Publish-Landmark-Paper-on-Novel-Method-for-Large-Scale-Biocatalytic-Synthesis-of-Investigational-Oral-PCSK9-Inhibito-8R8E4.pdf | API item ID: 3690622","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Scientists-Publish-Landmark-Paper-on-Novel-Method-for-Large-Scale-Biocatalytic-Synthesis-of-Investigational-Oral-PCSK9-Inhibito-8R8E4.pdf","3690622"
"pr-0130","04_press_releases","04_press_releases/corporate","Merck Completes Acquisition of Terns Pharmaceuticals, Inc.","press_release_snapshot","2026","Q2","2026-05-05","https://www.merck.com/news/merck-completes-acquisition-of-terns-pharmaceuticals-inc/","https://www.merck.com/news/merck-completes-acquisition-of-terns-pharmaceuticals-inc/","04_press_releases/corporate/2026-05-05_merck-completes-acquisition-of-terns-pharmaceuticals-inc.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Completes-Acquisition-of-Terns-Pharmaceuticals-Inc--2026.pdf | API item ID: 3690505","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Completes-Acquisition-of-Terns-Pharmaceuticals-Inc--2026.pdf","3690505"
"pr-0131","04_press_releases","04_press_releases/prescription_medicine","Merck & Co., Inc., Rahway, N.J., USA Announces First-Quarter 2026 Financial Results; Highlights Significant Regulatory Approvals and Clinical Milestones","press_release_snapshot","2026","Q2","2026-04-30","https://www.merck.com/news/merck-co-inc-rahway-n-j-usa-announces-first-quarter-2026-financial-results-highlights-significant-regulatory-approvals-and-clinical-milestones/","https://www.merck.com/news/merck-co-inc-rahway-n-j-usa-announces-first-quarter-2026-financial-results-highlights-significant-regulatory-approvals-and-clinical-milestones/","04_press_releases/prescription_medicine/2026-04-30_merck-and-co-inc-rahway-n-j-usa-announces-first-quarter-2026-financial-results-highlights-significant-regulato.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck--Co--Inc--Rahway-N-J--USA-Announces-First-Quarter-2026-Financial-Results-Highlights-Significant-Regulatory-Approvals-and-Clinic-2IVNQ.pdf | API item ID: 3690334","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/Merck--Co--Inc--Rahway-N-J--USA-Announces-First-Quarter-2026-Financial-Results-Highlights-Significant-Regulatory-Approvals-and-Clinic-2IVNQ.pdf","3690334"
"pr-0132","04_press_releases","04_press_releases/corporate","Merck’s Playing with Heart Program Teams Up With Professional Baseball Clubs and Baseball Legends to Help Raise Awareness About LDL-C, Called “Bad” Cholesterol, and How It May Impact the Risk of Heart Attack or Stroke","press_release_snapshot","2026","Q2","2026-04-28","https://www.merck.com/news/mercks-playing-with-heart-program-teams-up-with-professional-baseball-clubs-and-baseball-legends-to-help-raise-awareness-about-ldl-c-called-bad-cholesterol-and-how-it-may/","https://www.merck.com/news/mercks-playing-with-heart-program-teams-up-with-professional-baseball-clubs-and-baseball-legends-to-help-raise-awareness-about-ldl-c-called-bad-cholesterol-and-how-it-may/","04_press_releases/corporate/2026-04-28_merck-s-playing-with-heart-program-teams-up-with-professional-baseball-clubs-and-baseball-legends-to-help-rais.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Mercks-Playing-with-Heart-Program-Teams-Up-With-Professional-Baseball-Clubs-and-Baseball-Legends-to-Help-Raise-Awareness-About-LDL-C--QXAAB.pdf | API item ID: 3690139","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Mercks-Playing-with-Heart-Program-Teams-Up-With-Professional-Baseball-Clubs-and-Baseball-Legends-to-Help-Raise-Awareness-About-LDL-C--QXAAB.pdf","3690139"
"pr-0133","04_press_releases","04_press_releases/corporate","Merck Announces Expiration of Hart-Scott-Rodino Act Waiting Period to Acquire Terns Pharmaceuticals, Inc.","press_release_snapshot","2026","Q2","2026-04-24","https://www.merck.com/news/merck-announces-expiration-of-hart-scott-rodino-act-waiting-period-to-acquire-terns-pharmaceuticals-inc/","https://www.merck.com/news/merck-announces-expiration-of-hart-scott-rodino-act-waiting-period-to-acquire-terns-pharmaceuticals-inc/","04_press_releases/corporate/2026-04-24_merck-announces-expiration-of-hart-scott-rodino-act-waiting-period-to-acquire-terns-pharmaceuticals-inc.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Announces-Expiration-of-Hart-Scott-Rodino-Act-Waiting-Period-to-Acquire-Terns-Pharmaceuticals-Inc--2026.pdf | API item ID: 3687781","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Announces-Expiration-of-Hart-Scott-Rodino-Act-Waiting-Period-to-Acquire-Terns-Pharmaceuticals-Inc--2026.pdf","3687781"
"pr-0134","04_press_releases","04_press_releases/corporate","Merck and Google Cloud Partner to Accelerate Agentic AI Enterprise Transformation","press_release_snapshot","2026","Q2","2026-04-22","https://www.merck.com/news/merck-and-google-cloud-partner-to-accelerate-agentic-ai-enterprise-transformation/","https://www.merck.com/news/merck-and-google-cloud-partner-to-accelerate-agentic-ai-enterprise-transformation/","04_press_releases/corporate/2026-04-22_merck-and-google-cloud-partner-to-accelerate-agentic-ai-enterprise-transformation.html","html","www.merck.com","2026-06-12","Categories: Corporate News | API item ID: 3687720","snapshot_saved","Corporate News","","3687720"
"pr-0135","04_press_releases","04_press_releases/prescription_medicine","FDA Approves Merck’s Once-Daily IDVYNSO™ (doravirine/islatravir)","press_release_snapshot","2026","Q2","2026-04-21","https://www.merck.com/news/fda-approves-mercks-once-daily-idvynso-doravirine-islatravir/","https://www.merck.com/news/fda-approves-mercks-once-daily-idvynso-doravirine-islatravir/","04_press_releases/prescription_medicine/2026-04-21_fda-approves-merck-s-once-daily-idvynso-doravirine-islatravir.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/FDA-Approves-Mercks-Once-Daily-IDVYNSO-doravirineislatravir-2026.pdf | API item ID: 3687744","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/FDA-Approves-Mercks-Once-Daily-IDVYNSO-doravirineislatravir-2026.pdf","3687744"
"pr-0136","04_press_releases","04_press_releases/prescription_medicine","Merck and Eisai Provide Update on Phase 3 LITESPARK-012 Trial Evaluating First-Line Combination Treatments for Certain Patients With Advanced Renal Cell Carcinoma (RCC)","press_release_snapshot","2026","Q2","2026-04-21","https://www.merck.com/news/merck-and-eisai-provide-update-on-phase-3-litespark-012-trial-evaluating-first-line-combination-treatments-for-certain-patients-with-advanced-renal-cell-carcinoma-rcc/","https://www.merck.com/news/merck-and-eisai-provide-update-on-phase-3-litespark-012-trial-evaluating-first-line-combination-treatments-for-certain-patients-with-advanced-renal-cell-carcinoma-rcc/","04_press_releases/prescription_medicine/2026-04-21_merck-and-eisai-provide-update-on-phase-3-litespark-012-trial-evaluating-first-line-combination-treatments-for.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-and-Eisai-Provide-Update-on-Phase-3-LITESPARK-012-Trial-Evaluating-First-Line-Combination-Treatments-for-Certain-Patients-With--XAEMC.pdf | API item ID: 3687710","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-and-Eisai-Provide-Update-on-Phase-3-LITESPARK-012-Trial-Evaluating-First-Line-Combination-Treatments-for-Certain-Patients-With--XAEMC.pdf","3687710"
"pr-0137","04_press_releases","04_press_releases/prescription_medicine","FDA Grants Priority Review for KEYTRUDA® (pembrolizumab) and KEYTRUDA QLEX™ (pembrolizumab and berahyaluronidase alfa-pmph), Each with Padcev® (enfortumab vedotin-ejfv), for Cisplatin-Eligible Patients with Muscle-Invasive Bladder Cancer","press_release_snapshot","2026","Q2","2026-04-20","https://www.merck.com/news/fda-grants-priority-review-for-keytruda-pembrolizumab-and-keytruda-qlex-pembrolizumab-and-berahyaluronidase-alfa-pmph-each-with-padcev-enfortumab-vedotin-ejfv-for-cisplati/","https://www.merck.com/news/fda-grants-priority-review-for-keytruda-pembrolizumab-and-keytruda-qlex-pembrolizumab-and-berahyaluronidase-alfa-pmph-each-with-padcev-enfortumab-vedotin-ejfv-for-cisplati/","04_press_releases/prescription_medicine/2026-04-20_fda-grants-priority-review-for-keytruda-pembrolizumab-and-keytruda-qlex-pembrolizumab-and-berahyaluronidase-al.html","html","www.merck.com","2026-06-12","Categories: Prescription Medicine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/FDA-Grants-Priority-Review-for-KEYTRUDA-pembrolizumab-and-KEYTRUDA-QLEX-pembrolizumab-and-berahyaluronidase-alfa-pmph-Each-with-Padce-EJPYF.pdf | API item ID: 3687646","snapshot_saved","Prescription Medicine News","https://s2.q4cdn.com/584635680/files/doc_news/FDA-Grants-Priority-Review-for-KEYTRUDA-pembrolizumab-and-KEYTRUDA-QLEX-pembrolizumab-and-berahyaluronidase-alfa-pmph-Each-with-Padce-EJPYF.pdf","3687646"
"pr-0138","04_press_releases","04_press_releases/vaccine","European Commission Approves Merck’s ENFLONSIA™ (clesrovimab) for the Prevention of Respiratory Syncytial Virus (RSV) Lower Respiratory Tract Disease in Infants During Their First RSV Season","press_release_snapshot","2026","Q2","2026-04-17","https://www.merck.com/news/european-commission-approves-mercks-enflonsia-clesrovimab-for-the-prevention-of-respiratory-syncytial-virus-rsv-lower-respiratory-tract-disease-in-infants-during-their-first-rsv/","https://www.merck.com/news/european-commission-approves-mercks-enflonsia-clesrovimab-for-the-prevention-of-respiratory-syncytial-virus-rsv-lower-respiratory-tract-disease-in-infants-during-their-first-rsv/","04_press_releases/vaccine/2026-04-17_european-commission-approves-merck-s-enflonsia-clesrovimab-for-the-prevention-of-respiratory-syncytial-virus-r.html","html","www.merck.com","2026-06-12","Categories: Vaccine News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/European-Commission-Approves-Mercks-ENFLONSIA-clesrovimab-for-the-Prevention-of-Respiratory-Syncytial-Virus-RSV-Lower-Respiratory-Tra-CYDLC.pdf | API item ID: 3687209","snapshot_saved","Vaccine News","https://s2.q4cdn.com/584635680/files/doc_news/European-Commission-Approves-Mercks-ENFLONSIA-clesrovimab-for-the-Prevention-of-Respiratory-Syncytial-Virus-RSV-Lower-Respiratory-Tra-CYDLC.pdf","3687209"
"pr-0139","04_press_releases","04_press_releases/corporate","Ifinatamab Deruxtecan Granted Priority Review in the U.S. for Adult Patients with Previously Treated Extensive-Stage Small Cell Lung Cancer who Experienced Disease Progression on or After Platinum-Based Chemotherapy","press_release_snapshot","2026","Q2","2026-04-13","https://www.merck.com/news/ifinatamab-deruxtecan-granted-priority-review-in-the-u-s-for-adult-patients-with-previously-treated-extensive-stage-small-cell-lung-cancer-who-experienced-disease-progression-on-or-after-platinum-bas/","https://www.merck.com/news/ifinatamab-deruxtecan-granted-priority-review-in-the-u-s-for-adult-patients-with-previously-treated-extensive-stage-small-cell-lung-cancer-who-experienced-disease-progression-on-or-after-platinum-bas/","04_press_releases/corporate/2026-04-13_ifinatamab-deruxtecan-granted-priority-review-in-the-u-s-for-adult-patients-with-previously-treated-extensive.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Ifinatamab-Deruxtecan-Granted-Priority-Review-in-the-U-S--for-Adult-Patients-with-Previously-Treated-Extensive-Stage-Small-Cell-Lung--GJYLS.pdf | API item ID: 3686994","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Ifinatamab-Deruxtecan-Granted-Priority-Review-in-the-U-S--for-Adult-Patients-with-Previously-Treated-Extensive-Stage-Small-Cell-Lung--GJYLS.pdf","3686994"
"pr-0140","04_press_releases","04_press_releases/corporate","Merck Begins Tender Offer to Acquire Terns Pharmaceuticals, Inc.","press_release_snapshot","2026","Q2","2026-04-07","https://www.merck.com/news/merck-begins-tender-offer-to-acquire-terns-pharmaceuticals-inc/","https://www.merck.com/news/merck-begins-tender-offer-to-acquire-terns-pharmaceuticals-inc/","04_press_releases/corporate/2026-04-07_merck-begins-tender-offer-to-acquire-terns-pharmaceuticals-inc.html","html","www.merck.com","2026-06-12","Categories: Corporate News | Official PDF URL: https://s2.q4cdn.com/584635680/files/doc_news/Merck-Begins-Tender-Offer-to-Acquire-Terns-Pharmaceuticals-Inc--2026.pdf | API item ID: 3686519","snapshot_saved","Corporate News","https://s2.q4cdn.com/584635680/files/doc_news/Merck-Begins-Tender-Offer-to-Acquire-Terns-Pharmaceuticals-Inc--2026.pdf","3686519"
